winner_id,loser_id,winner_score,loser_score,winner_reasoning,loser_reasoning
CAND_0001879,CAND_0001828,86,52,"Evaluated offline: 7.3 years exp, 71% response rate.","Evaluated offline: 2.4 years exp, 10% response rate."
CAND_0000584,CAND_0000028,86,52,"Evaluated offline: 7.3 years exp, 80% response rate.","Evaluated offline: 1.1 years exp, 14% response rate."
CAND_0000223,CAND_0001792,86,52,"Evaluated offline: 6.1 years exp, 83% response rate.","Evaluated offline: 2.5 years exp, 11% response rate."
CAND_0001533,CAND_0000202,86,52,"Evaluated offline: 8.1 years exp, 70% response rate.","Evaluated offline: 2.7 years exp, 13% response rate."
CAND_0000343,CAND_0000843,86,52,"Evaluated offline: 6.4 years exp, 59% response rate.","Evaluated offline: 2.7 years exp, 13% response rate."
CAND_0001600,CAND_0000741,85,52,"Evaluated offline: 6.2 years exp, 42% response rate.","Evaluated offline: 3.3 years exp, 14% response rate."
CAND_0001729,CAND_0000485,85,52,"Evaluated offline: 5.5 years exp, 73% response rate.","Evaluated offline: 4.5 years exp, 11% response rate."
CAND_0001413,CAND_0001073,85,52,"Evaluated offline: 8.2 years exp, 78% response rate.","Evaluated offline: 11.9 years exp, 10% response rate."
CAND_0000493,CAND_0001598,85,52,"Evaluated offline: 5.5 years exp, 77% response rate.","Evaluated offline: 10.5 years exp, 13% response rate."
CAND_0000138,CAND_0000748,85,52,"Evaluated offline: 8.3 years exp, 75% response rate.","Evaluated offline: 13.2 years exp, 13% response rate."
CAND_0001291,CAND_0001418,85,52,"Evaluated offline: 5.9 years exp, 50% response rate.","Evaluated offline: 11.0 years exp, 14% response rate."
CAND_0000116,CAND_0001077,85,52,"Evaluated offline: 7.3 years exp, 74% response rate.","Evaluated offline: 14.4 years exp, 13% response rate."
CAND_0000422,CAND_0000901,85,52,"Evaluated offline: 6.3 years exp, 79% response rate.","Evaluated offline: 2.4 years exp, 10% response rate."
CAND_0001590,CAND_0001338,85,52,"Evaluated offline: 8.8 years exp, 64% response rate.","Evaluated offline: 12.9 years exp, 13% response rate."
CAND_0000458,CAND_0000188,85,52,"Evaluated offline: 8.0 years exp, 79% response rate.","Evaluated offline: 12.1 years exp, 12% response rate."
CAND_0000606,CAND_0001541,85,52,"Evaluated offline: 7.8 years exp, 75% response rate.","Evaluated offline: 11.8 years exp, 8% response rate."
CAND_0000134,CAND_0001566,85,53,"Evaluated offline: 8.6 years exp, 79% response rate.","Evaluated offline: 1.7 years exp, 15% response rate."
CAND_0000894,CAND_0001470,85,53,"Evaluated offline: 8.7 years exp, 74% response rate.","Evaluated offline: 3.2 years exp, 6% response rate."
CAND_0001648,CAND_0001649,85,53,"Evaluated offline: 8.9 years exp, 59% response rate.","Evaluated offline: 4.7 years exp, 14% response rate."
CAND_0001289,CAND_0001999,85,53,"Evaluated offline: 7.1 years exp, 77% response rate.","Evaluated offline: 4.2 years exp, 15% response rate."
CAND_0000417,CAND_0000646,85,53,"Evaluated offline: 7.8 years exp, 76% response rate.","Evaluated offline: 4.2 years exp, 15% response rate."
CAND_0000612,CAND_0001484,85,53,"Evaluated offline: 8.2 years exp, 77% response rate.","Evaluated offline: 13.0 years exp, 16% response rate."
CAND_0001459,CAND_0001456,85,53,"Evaluated offline: 7.7 years exp, 76% response rate.","Evaluated offline: 2.9 years exp, 17% response rate."
CAND_0000962,CAND_0001490,85,53,"Evaluated offline: 5.9 years exp, 68% response rate.","Evaluated offline: 12.6 years exp, 8% response rate."
CAND_0001772,CAND_0001950,84,53,"Evaluated offline: 5.8 years exp, 71% response rate.","Evaluated offline: 13.8 years exp, 17% response rate."
CAND_0000377,CAND_0000059,84,53,"Evaluated offline: 6.1 years exp, 70% response rate.","Evaluated offline: 1.5 years exp, 16% response rate."
CAND_0000461,CAND_0001585,84,53,"Evaluated offline: 6.7 years exp, 71% response rate.","Evaluated offline: 3.4 years exp, 19% response rate."
CAND_0000051,CAND_0001280,84,53,"Evaluated offline: 6.2 years exp, 73% response rate.","Evaluated offline: 3.8 years exp, 15% response rate."
CAND_0000779,CAND_0001101,84,53,"Evaluated offline: 6.6 years exp, 51% response rate.","Evaluated offline: 12.1 years exp, 18% response rate."
CAND_0000780,CAND_0001474,84,53,"Evaluated offline: 5.2 years exp, 71% response rate.","Evaluated offline: 2.1 years exp, 18% response rate."
CAND_0000320,CAND_0001525,84,53,"Evaluated offline: 8.0 years exp, 68% response rate.","Evaluated offline: 2.4 years exp, 15% response rate."
CAND_0000302,CAND_0000537,84,53,"Evaluated offline: 7.4 years exp, 70% response rate.","Evaluated offline: 12.1 years exp, 15% response rate."
CAND_0000474,CAND_0001149,84,53,"Evaluated offline: 8.8 years exp, 62% response rate.","Evaluated offline: 3.1 years exp, 16% response rate."
CAND_0001741,CAND_0001110,84,53,"Evaluated offline: 8.7 years exp, 55% response rate.","Evaluated offline: 13.2 years exp, 18% response rate."
CAND_0000932,CAND_0001390,84,53,"Evaluated offline: 6.9 years exp, 72% response rate.","Evaluated offline: 10.8 years exp, 16% response rate."
CAND_0000218,CAND_0000434,84,53,"Evaluated offline: 6.2 years exp, 72% response rate.","Evaluated offline: 3.6 years exp, 19% response rate."
CAND_0001701,CAND_0001643,83,53,"Evaluated offline: 8.4 years exp, 69% response rate.","Evaluated offline: 13.7 years exp, 15% response rate."
CAND_0001038,CAND_0000113,83,53,"Evaluated offline: 8.6 years exp, 66% response rate.","Evaluated offline: 1.8 years exp, 15% response rate."
CAND_0000032,CAND_0001298,83,53,"Evaluated offline: 8.1 years exp, 69% response rate.","Evaluated offline: 4.1 years exp, 14% response rate."
CAND_0000560,CAND_0000355,83,53,"Evaluated offline: 6.5 years exp, 69% response rate.","Evaluated offline: 12.0 years exp, 18% response rate."
CAND_0001203,CAND_0001186,83,53,"Evaluated offline: 8.8 years exp, 67% response rate.","Evaluated offline: 4.9 years exp, 18% response rate."
CAND_0001267,CAND_0001613,83,53,"Evaluated offline: 6.1 years exp, 39% response rate.","Evaluated offline: 10.1 years exp, 18% response rate."
CAND_0001537,CAND_0000206,83,53,"Evaluated offline: 6.3 years exp, 67% response rate.","Evaluated offline: 9.2 years exp, 18% response rate."
CAND_0000993,CAND_0001584,83,53,"Evaluated offline: 6.1 years exp, 41% response rate.","Evaluated offline: 14.5 years exp, 14% response rate."
CAND_0001761,CAND_0001726,83,53,"Evaluated offline: 6.5 years exp, 67% response rate.","Evaluated offline: 14.7 years exp, 17% response rate."
CAND_0000083,CAND_0001806,83,53,"Evaluated offline: 6.7 years exp, 49% response rate.","Evaluated offline: 10.7 years exp, 15% response rate."
CAND_0001915,CAND_0001312,83,53,"Evaluated offline: 6.7 years exp, 68% response rate.","Evaluated offline: 2.9 years exp, 10% response rate."
CAND_0000197,CAND_0000315,83,53,"Evaluated offline: 7.2 years exp, 54% response rate.","Evaluated offline: 3.1 years exp, 15% response rate."
CAND_0000579,CAND_0001596,83,53,"Evaluated offline: 8.3 years exp, 61% response rate.","Evaluated offline: 4.9 years exp, 15% response rate."
CAND_0000325,CAND_0001986,83,53,"Evaluated offline: 6.7 years exp, 69% response rate.","Evaluated offline: 12.8 years exp, 14% response rate."
CAND_0001279,CAND_0001249,83,53,"Evaluated offline: 6.6 years exp, 69% response rate.","Evaluated offline: 2.8 years exp, 15% response rate."
CAND_0000938,CAND_0000407,83,54,"Evaluated offline: 6.6 years exp, 50% response rate.","Evaluated offline: 1.1 years exp, 16% response rate."
CAND_0001323,CAND_0000888,83,54,"Evaluated offline: 8.5 years exp, 69% response rate.","Evaluated offline: 9.2 years exp, 17% response rate."
CAND_0001568,CAND_0001579,83,54,"Evaluated offline: 8.6 years exp, 45% response rate.","Evaluated offline: 4.7 years exp, 21% response rate."
CAND_0000211,CAND_0001821,83,54,"Evaluated offline: 5.0 years exp, 61% response rate.","Evaluated offline: 2.1 years exp, 24% response rate."
CAND_0001440,CAND_0001809,83,54,"Evaluated offline: 7.5 years exp, 67% response rate.","Evaluated offline: 3.4 years exp, 12% response rate."
CAND_0001216,CAND_0000337,82,54,"Evaluated offline: 8.7 years exp, 62% response rate.","Evaluated offline: 10.6 years exp, 22% response rate."
CAND_0001901,CAND_0001936,82,54,"Evaluated offline: 5.5 years exp, 37% response rate.","Evaluated offline: 1.1 years exp, 20% response rate."
CAND_0001582,CAND_0000292,82,54,"Evaluated offline: 6.8 years exp, 62% response rate.","Evaluated offline: 2.0 years exp, 20% response rate."
CAND_0000521,CAND_0000730,82,54,"Evaluated offline: 5.0 years exp, 41% response rate.","Evaluated offline: 4.0 years exp, 23% response rate."
CAND_0001594,CAND_0000078,82,54,"Evaluated offline: 7.5 years exp, 41% response rate.","Evaluated offline: 10.3 years exp, 19% response rate."
CAND_0000348,CAND_0001747,82,54,"Evaluated offline: 7.1 years exp, 44% response rate.","Evaluated offline: 12.8 years exp, 21% response rate."
CAND_0000146,CAND_0000306,82,54,"Evaluated offline: 6.6 years exp, 61% response rate.","Evaluated offline: 12.6 years exp, 20% response rate."
CAND_0001991,CAND_0000569,82,54,"Evaluated offline: 5.5 years exp, 61% response rate.","Evaluated offline: 11.8 years exp, 23% response rate."
CAND_0000273,CAND_0000720,82,54,"Evaluated offline: 5.8 years exp, 47% response rate.","Evaluated offline: 12.6 years exp, 23% response rate."
CAND_0000587,CAND_0001908,82,54,"Evaluated offline: 7.5 years exp, 41% response rate.","Evaluated offline: 13.5 years exp, 22% response rate."
CAND_0000231,CAND_0001663,82,54,"Evaluated offline: 6.9 years exp, 49% response rate.","Evaluated offline: 3.5 years exp, 24% response rate."
CAND_0001776,CAND_0001017,82,54,"Evaluated offline: 5.1 years exp, 63% response rate.","Evaluated offline: 13.5 years exp, 23% response rate."
CAND_0001296,CAND_0000700,82,54,"Evaluated offline: 7.4 years exp, 49% response rate.","Evaluated offline: 10.5 years exp, 20% response rate."
CAND_0001343,CAND_0000144,82,54,"Evaluated offline: 8.0 years exp, 57% response rate.","Evaluated offline: 14.7 years exp, 20% response rate."
CAND_0001842,CAND_0001647,82,54,"Evaluated offline: 6.4 years exp, 64% response rate.","Evaluated offline: 1.7 years exp, 20% response rate."
CAND_0000007,CAND_0001586,82,54,"Evaluated offline: 5.5 years exp, 62% response rate.","Evaluated offline: 9.1 years exp, 24% response rate."
CAND_0000594,CAND_0001603,82,54,"Evaluated offline: 7.4 years exp, 61% response rate.","Evaluated offline: 10.3 years exp, 24% response rate."
CAND_0000918,CAND_0000839,82,54,"Evaluated offline: 7.0 years exp, 61% response rate.","Evaluated offline: 10.9 years exp, 23% response rate."
CAND_0000633,CAND_0001722,82,54,"Evaluated offline: 6.4 years exp, 64% response rate.","Evaluated offline: 4.1 years exp, 24% response rate."
CAND_0001483,CAND_0001755,81,54,"Evaluated offline: 7.8 years exp, 45% response rate.","Evaluated offline: 14.6 years exp, 22% response rate."
CAND_0000709,CAND_0001466,81,54,"Evaluated offline: 7.8 years exp, 59% response rate.","Evaluated offline: 3.2 years exp, 24% response rate."
CAND_0000967,CAND_0000715,81,54,"Evaluated offline: 5.1 years exp, 58% response rate.","Evaluated offline: 9.7 years exp, 23% response rate."
CAND_0001301,CAND_0001074,81,54,"Evaluated offline: 8.6 years exp, 58% response rate.","Evaluated offline: 10.4 years exp, 23% response rate."
CAND_0001494,CAND_0000914,81,54,"Evaluated offline: 6.4 years exp, 30% response rate.","Evaluated offline: 10.4 years exp, 20% response rate."
CAND_0001994,CAND_0000171,81,54,"Evaluated offline: 7.5 years exp, 33% response rate.","Evaluated offline: 2.9 years exp, 21% response rate."
CAND_0001328,CAND_0000105,81,54,"Evaluated offline: 5.4 years exp, 34% response rate.","Evaluated offline: 12.0 years exp, 24% response rate."
CAND_0000874,CAND_0000546,81,54,"Evaluated offline: 6.3 years exp, 59% response rate.","Evaluated offline: 1.1 years exp, 23% response rate."
CAND_0001047,CAND_0001105,81,54,"Evaluated offline: 8.7 years exp, 59% response rate.","Evaluated offline: 4.7 years exp, 22% response rate."
CAND_0001759,CAND_0000652,81,54,"Evaluated offline: 6.6 years exp, 38% response rate.","Evaluated offline: 2.1 years exp, 20% response rate."
CAND_0001479,CAND_0001599,81,54,"Evaluated offline: 5.4 years exp, 56% response rate.","Evaluated offline: 11.1 years exp, 24% response rate."
CAND_0001790,CAND_0000487,81,54,"Evaluated offline: 5.4 years exp, 58% response rate.","Evaluated offline: 2.7 years exp, 22% response rate."
CAND_0000912,CAND_0000464,81,54,"Evaluated offline: 8.2 years exp, 58% response rate.","Evaluated offline: 11.7 years exp, 15% response rate."
CAND_0001638,CAND_0000237,81,54,"Evaluated offline: 7.9 years exp, 56% response rate.","Evaluated offline: 14.9 years exp, 20% response rate."
CAND_0001961,CAND_0000196,81,54,"Evaluated offline: 6.8 years exp, 33% response rate.","Evaluated offline: 4.2 years exp, 20% response rate."
CAND_0000120,CAND_0001051,81,54,"Evaluated offline: 5.7 years exp, 58% response rate.","Evaluated offline: 2.4 years exp, 19% response rate."
CAND_0001655,CAND_0000669,81,54,"Evaluated offline: 7.9 years exp, 48% response rate.","Evaluated offline: 13.4 years exp, 22% response rate."
CAND_0000280,CAND_0001394,81,54,"Evaluated offline: 8.2 years exp, 58% response rate.","Evaluated offline: 3.1 years exp, 24% response rate."
CAND_0001288,CAND_0001676,81,54,"Evaluated offline: 7.9 years exp, 37% response rate.","Evaluated offline: 14.9 years exp, 23% response rate."
CAND_0000454,CAND_0001432,80,54,"Evaluated offline: 5.8 years exp, 53% response rate.","Evaluated offline: 11.5 years exp, 24% response rate."
CAND_0001193,CAND_0000798,80,54,"Evaluated offline: 5.0 years exp, 19% response rate.","Evaluated offline: 1.1 years exp, 21% response rate."
CAND_0001583,CAND_0001303,80,54,"Evaluated offline: 7.3 years exp, 50% response rate.","Evaluated offline: 10.9 years exp, 20% response rate."
CAND_0000046,CAND_0000169,80,54,"Evaluated offline: 7.8 years exp, 41% response rate.","Evaluated offline: 14.9 years exp, 20% response rate."
CAND_0000576,CAND_0000508,80,54,"Evaluated offline: 6.2 years exp, 51% response rate.","Evaluated offline: 4.6 years exp, 20% response rate."
CAND_0000805,CAND_0000972,80,54,"Evaluated offline: 5.0 years exp, 53% response rate.","Evaluated offline: 13.5 years exp, 20% response rate."
CAND_0001093,CAND_0000842,80,54,"Evaluated offline: 5.9 years exp, 50% response rate.","Evaluated offline: 3.2 years exp, 22% response rate."
CAND_0001322,CAND_0000597,80,55,"Evaluated offline: 6.7 years exp, 52% response rate.","Evaluated offline: 14.1 years exp, 29% response rate."
CAND_0001939,CAND_0000940,80,55,"Evaluated offline: 7.2 years exp, 32% response rate.","Evaluated offline: 14.9 years exp, 5% response rate."
CAND_0001572,CAND_0001259,80,55,"Evaluated offline: 9.0 years exp, 54% response rate.","Evaluated offline: 12.8 years exp, 25% response rate."
CAND_0000132,CAND_0000825,80,55,"Evaluated offline: 7.7 years exp, 48% response rate.","Evaluated offline: 9.5 years exp, 27% response rate."
CAND_0000742,CAND_0001109,80,55,"Evaluated offline: 7.7 years exp, 51% response rate.","Evaluated offline: 10.3 years exp, 13% response rate."
CAND_0000755,CAND_0000002,80,55,"Evaluated offline: 5.2 years exp, 51% response rate.","Evaluated offline: 12.5 years exp, 29% response rate."
CAND_0000185,CAND_0000054,80,55,"Evaluated offline: 6.1 years exp, 27% response rate.","Evaluated offline: 4.9 years exp, 25% response rate."
CAND_0001492,CAND_0001277,80,55,"Evaluated offline: 7.4 years exp, 53% response rate.","Evaluated offline: 2.8 years exp, 28% response rate."
CAND_0000666,CAND_0001215,80,55,"Evaluated offline: 6.5 years exp, 29% response rate.","Evaluated offline: 2.0 years exp, 22% response rate."
CAND_0000930,CAND_0000168,80,55,"Evaluated offline: 9.0 years exp, 37% response rate.","Evaluated offline: 10.7 years exp, 13% response rate."
CAND_0000796,CAND_0001868,80,55,"Evaluated offline: 8.6 years exp, 54% response rate.","Evaluated offline: 14.3 years exp, 27% response rate."
CAND_0001567,CAND_0000744,80,55,"Evaluated offline: 6.6 years exp, 38% response rate.","Evaluated offline: 10.1 years exp, 9% response rate."
CAND_0001453,CAND_0001359,80,55,"Evaluated offline: 5.7 years exp, 50% response rate.","Evaluated offline: 9.7 years exp, 25% response rate."
CAND_0001063,CAND_0000559,80,55,"Evaluated offline: 5.3 years exp, 51% response rate.","Evaluated offline: 4.7 years exp, 18% response rate."
CAND_0001486,CAND_0001055,80,55,"Evaluated offline: 6.4 years exp, 33% response rate.","Evaluated offline: 4.8 years exp, 28% response rate."
CAND_0000055,CAND_0001711,80,55,"Evaluated offline: 7.3 years exp, 45% response rate.","Evaluated offline: 14.7 years exp, 29% response rate."
CAND_0000115,CAND_0001762,80,55,"Evaluated offline: 7.8 years exp, 53% response rate.","Evaluated offline: 2.7 years exp, 29% response rate."
CAND_0000716,CAND_0001705,80,55,"Evaluated offline: 5.3 years exp, 52% response rate.","Evaluated offline: 4.0 years exp, 26% response rate."
CAND_0001054,CAND_0001636,80,55,"Evaluated offline: 5.6 years exp, 45% response rate.","Evaluated offline: 9.2 years exp, 28% response rate."
CAND_0001531,CAND_0001363,80,55,"Evaluated offline: 6.3 years exp, 36% response rate.","Evaluated offline: 13.7 years exp, 26% response rate."
CAND_0000985,CAND_0001143,80,55,"Evaluated offline: 5.6 years exp, 53% response rate.","Evaluated offline: 9.2 years exp, 28% response rate."
CAND_0001669,CAND_0000655,80,55,"Evaluated offline: 6.3 years exp, 51% response rate.","Evaluated offline: 3.8 years exp, 23% response rate."
CAND_0001914,CAND_0001463,79,55,"Evaluated offline: 7.7 years exp, 32% response rate.","Evaluated offline: 9.7 years exp, 15% response rate."
CAND_0000101,CAND_0000717,79,55,"Evaluated offline: 7.0 years exp, 46% response rate.","Evaluated offline: 2.4 years exp, 26% response rate."
CAND_0001379,CAND_0001003,79,55,"Evaluated offline: 5.5 years exp, 48% response rate.","Evaluated offline: 9.7 years exp, 7% response rate."
CAND_0000143,CAND_0000544,79,55,"Evaluated offline: 7.7 years exp, 45% response rate.","Evaluated offline: 10.7 years exp, 25% response rate."
CAND_0001315,CAND_0000408,79,55,"Evaluated offline: 8.6 years exp, 49% response rate.","Evaluated offline: 3.2 years exp, 15% response rate."
CAND_0001911,CAND_0000240,79,55,"Evaluated offline: 8.9 years exp, 41% response rate.","Evaluated offline: 13.3 years exp, 25% response rate."
CAND_0001013,CAND_0001703,79,55,"Evaluated offline: 6.6 years exp, 49% response rate.","Evaluated offline: 4.2 years exp, 17% response rate."
CAND_0000911,CAND_0000800,79,55,"Evaluated offline: 7.7 years exp, 45% response rate.","Evaluated offline: 13.1 years exp, 28% response rate."
CAND_0001860,CAND_0001429,79,55,"Evaluated offline: 7.0 years exp, 49% response rate.","Evaluated offline: 4.3 years exp, 26% response rate."
CAND_0000225,CAND_0001387,79,55,"Evaluated offline: 5.0 years exp, 45% response rate.","Evaluated offline: 3.3 years exp, 14% response rate."
CAND_0001878,CAND_0000670,79,55,"Evaluated offline: 6.4 years exp, 49% response rate.","Evaluated offline: 10.4 years exp, 27% response rate."
CAND_0000097,CAND_0000496,79,55,"Evaluated offline: 5.8 years exp, 46% response rate.","Evaluated offline: 9.8 years exp, 28% response rate."
CAND_0001979,CAND_0000065,79,55,"Evaluated offline: 6.3 years exp, 47% response rate.","Evaluated offline: 9.7 years exp, 27% response rate."
CAND_0000135,CAND_0000022,79,55,"Evaluated offline: 8.2 years exp, 49% response rate.","Evaluated offline: 1.1 years exp, 27% response rate."
CAND_0001707,CAND_0001180,79,56,"Evaluated offline: 5.6 years exp, 48% response rate.","Evaluated offline: 12.6 years exp, 33% response rate."
CAND_0000516,CAND_0000898,79,56,"Evaluated offline: 8.0 years exp, 48% response rate.","Evaluated offline: 2.8 years exp, 26% response rate."
CAND_0001825,CAND_0000820,79,56,"Evaluated offline: 6.9 years exp, 45% response rate.","Evaluated offline: 2.5 years exp, 29% response rate."
CAND_0000243,CAND_0000103,79,56,"Evaluated offline: 5.7 years exp, 47% response rate.","Evaluated offline: 11.7 years exp, 31% response rate."
CAND_0001602,CAND_0000977,79,56,"Evaluated offline: 6.6 years exp, 34% response rate.","Evaluated offline: 1.7 years exp, 33% response rate."
CAND_0000191,CAND_0001634,79,56,"Evaluated offline: 5.0 years exp, 48% response rate.","Evaluated offline: 10.4 years exp, 32% response rate."
CAND_0000626,CAND_0000617,79,56,"Evaluated offline: 8.0 years exp, 49% response rate.","Evaluated offline: 1.4 years exp, 32% response rate."
CAND_0001563,CAND_0001029,78,56,"Evaluated offline: 7.7 years exp, 44% response rate.","Evaluated offline: 1.1 years exp, 34% response rate."
CAND_0000294,CAND_0000495,78,56,"Evaluated offline: 8.6 years exp, 41% response rate.","Evaluated offline: 1.8 years exp, 10% response rate."
CAND_0001184,CAND_0000732,78,56,"Evaluated offline: 8.7 years exp, 42% response rate.","Evaluated offline: 9.6 years exp, 18% response rate."
CAND_0001502,CAND_0001139,78,56,"Evaluated offline: 7.4 years exp, 42% response rate.","Evaluated offline: 13.9 years exp, 32% response rate."
CAND_0001849,CAND_0001631,78,56,"Evaluated offline: 5.8 years exp, 44% response rate.","Evaluated offline: 10.1 years exp, 30% response rate."
CAND_0000735,CAND_0001265,78,56,"Evaluated offline: 7.4 years exp, 40% response rate.","Evaluated offline: 4.9 years exp, 31% response rate."
CAND_0000943,CAND_0000678,78,56,"Evaluated offline: 5.3 years exp, 43% response rate.","Evaluated offline: 9.6 years exp, 30% response rate."
CAND_0001089,CAND_0000685,78,56,"Evaluated offline: 6.8 years exp, 15% response rate.","Evaluated offline: 10.2 years exp, 32% response rate."
CAND_0000077,CAND_0000221,78,56,"Evaluated offline: 8.7 years exp, 40% response rate.","Evaluated offline: 2.7 years exp, 9% response rate."
CAND_0001793,CAND_0001353,78,56,"Evaluated offline: 8.4 years exp, 41% response rate.","Evaluated offline: 3.4 years exp, 11% response rate."
CAND_0000127,CAND_0001773,78,56,"Evaluated offline: 6.7 years exp, 40% response rate.","Evaluated offline: 1.1 years exp, 33% response rate."
CAND_0000743,CAND_0000927,78,56,"Evaluated offline: 6.9 years exp, 17% response rate.","Evaluated offline: 11.4 years exp, 34% response rate."
CAND_0001127,CAND_0000812,78,56,"Evaluated offline: 6.0 years exp, 44% response rate.","Evaluated offline: 11.0 years exp, 34% response rate."
CAND_0001811,CAND_0001784,78,56,"Evaluated offline: 8.5 years exp, 44% response rate.","Evaluated offline: 9.9 years exp, 32% response rate."
CAND_0001504,CAND_0001512,78,56,"Evaluated offline: 7.7 years exp, 44% response rate.","Evaluated offline: 11.6 years exp, 33% response rate."
CAND_0001019,CAND_0000326,78,56,"Evaluated offline: 8.4 years exp, 25% response rate.","Evaluated offline: 2.8 years exp, 34% response rate."
